indicativo,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-01-2009,,,
3170Y,,80.0,3.0,1.0,,7.2,0.0,,1.0,0.0,16.0,,222.0,73.0,0.0,49.8,9.0,12.0,0.7,5.1,9.0,10.0,01-01-2010,,,
3170Y,,,,,,,,,,,,,,,,,6.0,,,,,,01-01-2011,,,
3170Y,,70.0,0.0,-2.7,,3.1,0.0,,0.0,0.0,3.0,,154.0,62.0,0.0,4.8,6.0,30.0,4.4,5.1,12.9,2.0,01-01-2012,,,
3170Y,,77.0,2.0,0.6,,7.9,0.0,,0.0,0.0,11.0,,200.0,72.0,0.0,26.4,8.0,15.0,2.1,5.6,10.5,7.0,01-01-2013,,,
3170Y,,79.0,2.0,3.1,,10.0,0.0,,0.0,0.0,16.0,,224.0,84.0,0.0,61.0,9.0,5.0,7.6,7.3,11.4,13.0,01-01-2014,,,
3170Y,,69.0,1.0,-2.5,,9.1,0.0,,0.0,0.0,6.0,,160.0,60.0,0.0,17.8,6.0,26.0,4.3,5.0,12.5,5.0,01-01-2015,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-01-2016,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-01-2017,,,
3170Y,,76.0,0.0,0.1,,7.4,0.0,,2.0,0.0,9.0,,164.0,73.0,0.0,51.2,7.0,19.0,4.7,6.1,12.1,6.0,01-01-2018,,,
3170Y,,65.0,1.0,-3.2,,6.9,0.0,,0.0,0.0,6.0,,162.0,57.0,0.0,16.6,7.0,27.0,5.6,4.9,12.9,3.0,01-01-2019,,,
3170Y,,75.0,3.0,0.9,,10.5,0.0,,0.0,0.0,10.0,,205.0,74.0,0.0,13.2,9.0,14.0,5.9,6.3,11.7,3.0,01-01-2020,,,
3170Y,,79.0,2.0,-2.4,,8.6,0.0,,,0.0,,,185.0,66.0,,,8.0,20.0,0.8,3.0,8.4,,01-01-2021,,,
3170Y,,65.0,1.0,-2.5,,2.8,0.0,,0.0,0.0,3.0,,136.0,58.0,0.0,9.8,5.0,24.0,7.7,5.6,13.7,2.0,01-01-2022,4.0,19.0,8.0
3170Y,,71.0,2.0,-0.7,,8.2,0.0,,0.0,0.0,9.0,,198.0,68.0,0.0,17.0,8.0,19.0,6.2,5.4,11.4,3.0,01-01-2023,4.0,12.0,15.0
3170Y,,81.0,1.0,2.7,,11.7,0.0,,1.0,0.0,14.0,,162.0,89.0,0.0,50.8,6.0,7.0,7.6,7.8,12.8,9.0,01-01-2024,13.0,4.0,14.0
3170Y,,66.0,1.0,0.4,,7.1,0.0,,1.0,0.0,8.0,,203.0,66.0,0.0,28.6,9.0,16.0,5.3,6.8,13.2,4.0,01-02-2009,,,
3170Y,,74.0,5.0,1.7,,9.1,0.0,,2.0,0.0,16.0,,270.0,74.0,0.0,75.4,11.0,10.0,2.6,6.1,10.5,12.0,01-02-2010,,,
3170Y,,67.0,0.0,0.2,,6.9,0.0,,0.0,0.0,6.0,,193.0,70.0,0.0,22.4,4.0,16.0,8.2,7.4,14.5,6.0,01-02-2011,,,
3170Y,,46.0,5.0,-4.9,,2.0,0.0,,0.0,0.0,2.0,,238.0,39.0,0.0,1.4,11.0,25.0,4.4,4.1,12.9,1.0,01-02-2012,,,
3170Y,,67.0,2.0,0.2,,7.3,0.0,,0.0,0.0,8.0,,246.0,66.0,0.0,8.6,11.0,16.0,5.9,5.8,11.2,3.0,01-02-2013,,,
3170Y,,74.0,7.0,1.9,,9.7,0.0,,1.0,0.0,14.0,,273.0,77.0,0.0,37.6,12.0,10.0,5.1,6.7,11.6,8.0,01-02-2014,,,
3170Y,,65.0,5.0,0.6,,7.4,0.0,,0.0,0.0,8.0,,268.0,63.0,0.0,16.4,12.0,12.0,3.8,5.9,11.1,5.0,01-02-2015,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-02-2016,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-02-2017,,,
3170Y,,65.0,2.0,-1.5,,6.1,0.0,,3.0,0.0,5.0,,206.0,59.0,0.0,46.8,10.0,19.0,3.5,4.7,11.0,5.0,01-02-2018,,,
3170Y,,57.0,1.0,-1.0,,4.7,0.0,,0.0,0.0,1.0,,165.0,61.0,0.0,0.6,7.0,19.0,7.7,7.8,16.6,0.0,01-02-2019,,,
3170Y,,70.0,1.0,2.1,,10.6,0.0,,0.0,0.0,0.0,,135.0,87.0,0.0,0.0,5.0,10.0,11.5,9.4,16.6,0.0,01-02-2020,,,
3170Y,,74.0,4.0,4.2,,8.5,0.0,,1.0,0.0,9.0,,205.0,90.0,0.0,51.6,8.0,0.0,10.2,9.7,15.2,7.0,01-02-2021,,,
3170Y,,59.0,1.0,0.2,,6.6,0.0,,0.0,0.0,6.0,,177.0,67.0,0.0,5.0,7.0,16.0,11.0,8.5,16.8,2.0,01-02-2022,5.0,13.0,10.0
3170Y,,57.0,2.0,-1.8,,4.2,0.0,,0.0,0.0,1.0,,172.0,56.0,0.0,0.6,7.0,22.0,6.4,6.3,14.4,0.0,01-02-2023,3.0,13.0,12.0
3170Y,,71.0,4.0,3.2,,9.3,0.0,,1.0,0.0,8.0,,230.0,86.0,0.0,29.4,10.0,4.0,9.6,9.3,15.3,5.0,01-02-2024,10.0,5.0,14.0
3170Y,,51.0,,2.8,,8.0,0.0,,,,,,,65.0,,,10.0,2.0,10.2,11.0,19.2,,01-03-2009,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-03-2010,,,
3170Y,,66.0,1.0,3.7,,8.5,0.0,,1.0,0.0,14.0,,201.0,82.0,0.0,42.6,4.0,3.0,8.2,9.5,15.3,9.0,01-03-2011,,,
3170Y,,44.0,0.0,1.8,,6.1,0.0,,0.0,0.0,2.0,,206.0,55.0,0.0,7.2,9.0,6.0,6.8,10.5,19.2,1.0,01-03-2012,,,
3170Y,,74.0,4.0,4.5,,9.9,0.0,,2.0,0.0,21.0,,284.0,89.0,0.0,92.4,13.0,3.0,7.0,9.1,13.7,15.0,01-03-2013,,,
3170Y,,57.0,3.0,3.2,,8.9,0.0,,0.0,0.0,5.0,,233.0,73.0,0.0,10.8,11.0,4.0,11.9,10.4,17.6,3.0,01-03-2014,,,
3170Y,,59.0,1.0,2.1,,8.0,0.0,,1.0,0.0,4.0,,242.0,74.0,0.0,17.6,10.0,9.0,9.3,9.9,17.7,4.0,01-03-2015,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-03-2016,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-03-2017,,,
3170Y,,70.0,6.0,4.1,,9.2,0.0,,4.0,0.0,20.0,,322.0,80.0,0.0,115.2,15.0,3.0,8.5,8.6,13.1,15.0,01-03-2018,,,
3170Y,,49.0,1.0,2.0,,9.1,0.0,,0.0,0.0,2.0,,214.0,64.0,0.0,9.4,10.0,6.0,12.9,10.7,19.3,2.0,01-03-2019,,,
3170Y,,65.0,4.0,4.5,,9.0,0.0,,2.0,0.0,13.0,,251.0,86.0,0.0,62.8,12.0,3.0,9.7,10.7,16.9,8.0,01-03-2020,,,
3170Y,,58.0,1.0,2.4,,7.5,0.0,,0.0,0.0,2.0,,206.0,72.0,0.0,0.4,9.0,7.0,10.7,9.9,17.4,0.0,01-03-2021,,,
3170Y,,70.0,1.0,5.1,,11.4,0.0,,2.0,0.0,16.0,,240.0,88.0,0.0,73.4,10.0,2.0,11.2,9.8,14.5,14.0,01-03-2022,23.0,2.0,6.0
3170Y,,56.0,2.0,3.7,,11.2,0.0,,1.0,0.0,5.0,,215.0,80.0,0.0,17.8,10.0,5.0,6.8,11.6,19.3,3.0,01-03-2023,4.0,9.0,18.0
3170Y,,70.0,7.0,4.7,,11.3,0.0,,3.0,0.0,14.0,,260.0,94.0,0.0,83.0,11.0,4.0,9.0,10.8,16.8,12.0,01-03-2024,13.0,2.0,16.0
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-04-2009,,,
3170Y,,,,,,,,,,,,,,,,,8.0,,,,,,01-04-2010,,,
3170Y,,58.0,,8.2,,12.6,0.0,,2.0,,8.0,,,107.0,0.0,70.8,,0.0,15.0,15.7,23.2,8.0,01-04-2011,,,
3170Y,,63.0,4.0,5.2,,9.9,0.0,,0.0,0.0,13.0,,284.0,85.0,0.0,49.2,13.0,1.0,10.6,11.0,16.7,9.0,01-04-2012,,,
3170Y,,61.0,2.0,5.3,,9.9,0.0,,0.0,0.0,9.0,,292.0,89.0,0.0,38.4,13.0,1.0,8.0,11.7,17.9,6.0,01-04-2013,,,
3170Y,,57.0,2.0,8.0,,12.4,0.0,,2.0,0.0,6.0,,216.0,104.0,0.0,29.8,11.0,0.0,14.8,15.6,23.0,4.0,01-04-2014,,,
3170Y,,55.0,1.0,6.1,,10.6,0.0,,1.0,0.0,7.0,,200.0,90.0,0.0,30.0,10.0,0.0,10.7,13.7,21.3,5.0,01-04-2015,,,
3170Y,,65.0,0.0,5.6,,11.1,0.0,,3.0,0.0,15.0,,235.0,93.0,0.0,100.6,6.0,2.0,11.0,11.6,17.6,12.0,01-04-2016,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-04-2017,,,
3170Y,,65.0,1.0,6.5,,11.4,0.0,,2.0,0.0,12.0,,232.0,98.0,0.0,66.0,11.0,0.0,7.2,12.7,18.8,9.0,01-04-2018,,,
3170Y,,62.0,5.0,5.3,,10.1,0.0,,3.0,0.0,13.0,,232.0,87.0,0.0,79.6,11.0,2.0,10.7,11.7,18.1,10.0,01-04-2019,,,
3170Y,,71.0,1.0,8.2,,11.7,0.0,,1.0,0.0,16.0,,168.0,115.0,0.0,77.2,8.0,0.0,13.5,13.6,18.9,13.0,01-04-2020,,,
3170Y,,64.0,0.0,6.2,,10.2,0.0,,3.0,0.0,19.0,,166.0,98.0,1.0,107.6,8.0,0.0,13.1,12.6,19.0,16.0,01-04-2021,,,
3170Y,,60.0,3.0,4.9,,10.7,0.0,,1.0,0.0,9.0,,242.0,90.0,0.0,37.4,11.0,3.0,10.4,11.9,18.8,5.0,01-04-2022,11.0,6.0,10.0
3170Y,,41.0,0.0,5.4,,13.6,3.0,,0.0,0.0,3.0,,205.0,77.0,0.0,7.2,10.0,3.0,18.1,15.3,25.2,2.0,01-04-2023,5.0,9.0,16.0
3170Y,,55.0,1.0,5.5,,14.7,0.0,,0.0,0.0,4.0,,214.0,93.0,0.0,9.2,10.0,2.0,14.1,13.5,21.5,2.0,01-04-2024,4.0,11.0,13.0
3170Y,,40.0,4.0,9.5,,15.9,10.0,,0.0,0.0,5.0,,244.0,91.0,0.0,7.8,13.0,0.0,19.2,18.4,27.3,5.0,01-05-2009,,,
3170Y,,52.0,3.0,8.0,,14.4,3.0,,1.0,0.0,8.0,,254.0,99.0,0.0,26.2,12.0,1.0,12.1,15.3,22.6,5.0,01-05-2010,,,
3170Y,,,1.0,10.8,,14.9,3.0,,3.0,0.0,9.0,,219.0,125.0,1.0,109.8,9.0,0.0,17.3,18.2,25.5,7.0,01-05-2011,,,
3170Y,,47.0,1.0,10.3,,14.8,13.0,,0.0,0.0,7.0,,216.0,104.0,0.0,27.0,11.0,0.0,15.0,18.3,26.3,7.0,01-05-2012,,,
3170Y,,53.0,1.0,6.2,,13.6,0.0,,0.0,0.0,8.0,,220.0,90.0,0.0,28.8,12.0,0.0,10.4,13.8,21.3,6.0,01-05-2013,,,
3170Y,,41.0,0.0,9.5,,13.8,5.0,,0.0,0.0,4.0,,271.0,88.0,0.0,6.4,12.0,0.0,17.8,17.6,25.7,3.0,01-05-2014,,,
3170Y,,40.0,1.0,9.8,,15.2,9.0,,0.0,0.0,1.0,,325.0,96.0,0.0,0.2,14.0,0.0,21.7,18.8,27.8,0.0,01-05-2015,,,
3170Y,,59.0,1.0,8.3,,12.6,0.0,,2.0,0.0,12.0,,221.0,108.0,0.0,64.0,5.0,0.0,14.8,15.2,22.1,11.0,01-05-2016,,,
3170Y,,,,,,,,,,,,,,,,,11.0,,,,,,01-05-2017,,,
3170Y,,58.0,0.0,9.3,,13.0,0.0,,1.0,0.0,14.0,,187.0,116.0,0.0,46.0,9.0,0.0,17.3,16.4,23.4,10.0,01-05-2018,,,
3170Y,,40.0,1.0,8.2,,13.1,7.0,,0.0,0.0,1.0,,261.0,89.0,0.0,0.4,13.0,0.0,18.5,17.2,26.2,0.0,01-05-2019,,,
3170Y,,,,,,,,,1.0,,6.0,,,,0.0,41.2,,,,,,6.0,01-05-2020,,,
3170Y,,53.0,2.0,8.8,,16.2,4.0,,0.0,0.0,12.0,,208.0,112.0,0.0,22.0,11.0,0.0,16.9,17.0,25.1,6.0,01-05-2021,,,
3170Y,,44.0,2.0,10.3,,15.8,12.0,,0.0,0.0,2.0,,227.0,109.0,0.0,1.2,11.0,0.0,17.3,19.4,28.4,1.0,01-05-2022,6.0,13.0,12.0
3170Y,,46.0,0.0,9.0,,13.6,2.0,,0.0,0.0,11.0,,252.0,96.0,0.0,33.6,12.0,0.0,20.4,17.1,25.1,10.0,01-05-2023,10.0,4.0,17.0
3170Y,,49.0,1.0,8.0,,14.6,7.0,,1.0,0.0,5.0,,204.0,101.0,0.0,12.8,11.0,0.0,16.3,16.7,25.3,2.0,01-05-2024,6.0,5.0,20.0
3170Y,,37.0,4.0,14.2,,19.3,19.0,,1.0,0.0,7.0,,273.0,112.0,0.0,20.0,13.0,0.0,19.2,22.7,31.2,5.0,01-06-2009,,,
3170Y,,50.0,1.0,13.0,,17.6,15.0,,2.0,0.0,12.0,,235.0,126.0,0.0,56.8,11.0,0.0,17.4,20.4,27.8,10.0,01-06-2010,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-06-2011,,,
3170Y,,34.0,1.0,15.2,,22.3,20.0,,0.0,0.0,2.0,,248.0,108.0,0.0,3.4,13.0,0.0,24.8,23.6,31.9,2.0,01-06-2012,,,
3170Y,,41.0,1.0,11.5,,16.1,15.0,,0.0,0.0,6.0,,253.0,107.0,0.0,7.6,12.0,0.0,19.8,20.3,29.0,2.0,01-06-2013,,,
3170Y,,38.0,2.0,13.3,,17.5,18.0,,2.0,0.0,4.0,,250.0,109.0,0.0,28.4,13.0,0.0,22.8,21.8,30.2,4.0,01-06-2014,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-06-2015,,,
3170Y,,,,,,,,,,,,,,,,,4.0,,,,,,01-06-2016,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-06-2017,,,
3170Y,,53.0,0.0,13.8,,20.9,15.0,,1.0,0.0,9.0,,192.0,139.0,0.0,30.6,9.0,0.0,19.8,21.4,28.9,7.0,01-06-2018,,,
3170Y,,31.0,1.0,13.7,,22.2,18.0,,0.0,0.0,2.0,,270.0,97.0,0.0,2.6,13.0,0.0,22.0,22.7,31.6,1.0,01-06-2019,,,
3170Y,,42.0,0.0,12.9,,19.6,13.0,,1.0,0.0,6.0,,219.0,118.0,0.0,26.2,11.0,0.0,20.9,21.3,29.7,4.0,01-06-2020,,,
3170Y,,46.0,1.0,13.8,,17.7,17.0,,1.0,0.0,8.0,,220.0,129.0,1.0,55.8,11.0,0.0,20.4,21.9,30.0,6.0,01-06-2021,,,
3170Y,,33.0,1.0,14.6,,23.4,20.0,,0.0,0.0,2.0,,237.0,111.0,0.0,2.8,12.0,0.0,25.4,23.8,33.1,2.0,01-06-2022,3.0,11.0,16.0
3170Y,,56.0,1.0,15.5,,18.8,13.0,,2.0,0.0,11.0,,189.0,158.0,2.0,102.2,9.0,0.0,21.7,22.7,29.9,11.0,01-06-2023,7.0,5.0,18.0
